"","RT","div","leg","dist","SGDm","serie","position","PAR"
"1",1,"Div0","Leg-",-15,6.27527188447139,"s1","1",488.79
"2",1,"Div0","Leg-",0,4.58937735800537,"s1","1",488.79
"3",1,"Div0","Leg-",15,5.63097414468529,"s1","1",488.79
"4",2,"Div1","Leg-",-15,18,"s1","2",544
"5",2,"Div1","Leg-",0,11.7649711206064,"s1","2",544
"6",2,"Div1","Leg-",15,12.2208839660179,"s1","2",544
"7",3,"Div2","Leg-",-15,11.5002268696119,"s1","3",564
"8",3,"Div2","Leg-",0,5.28404465818996,"s1","3",564
"9",3,"Div2","Leg-",15,8.86272291198853,"s1","3",564
"10",4,"Div3","Leg-",-15,14.329478649808,"s1","4",551
"11",4,"Div3","Leg-",0,4.694522503569,"s1","4",551
"12",4,"Div3","Leg-",15,12.9490374256405,"s1","4",551
"13",5,"Div0","Leg-",0,3.00716082090268,"s1","5",584.666666666667
"14",5,"Div0","Leg-",15,18.8736474113534,"s1","5",584.666666666667
"15",6,"Div1","Leg-",-15,6.23172223108416,"s1","6",553.333333333333
"16",6,"Div1","Leg-",0,10.2348186528498,"s1","6",553.333333333333
"17",6,"Div1","Leg-",15,19.7710457908418,"s1","6",553.333333333333
"18",7,"Div2","Leg-",-15,11.0772370486656,"s1","7",546
"19",7,"Div2","Leg-",0,6.89841507367143,"s1","7",546
"20",7,"Div2","Leg-",15,11.0607344632768,"s1","7",546
"21",8,"Div3","Leg-",-15,7.17814300277375,"s1","8",523.333333333333
"22",8,"Div3","Leg-",0,4.15928785096038,"s1","8",523.333333333333
"23",9,"Div0","Leg-",-15,3.73139616093805,"s1","9",527
"24",9,"Div0","Leg-",0,2.35847310375409,"s1","9",527
"25",10,"Div1","Leg-",-15,3.85194555923923,"s1","10",523.333333333333
"26",10,"Div1","Leg-",0,4.06186131780439,"s1","10",523.333333333333
"27",10,"Div1","Leg-",15,NA,"s1","10",523.333333333333
"28",11,"Div0","Leg+",-15,14,"s1","10",507.333333333333
"29",11,"Div0","Leg+",0,3.31978383458648,"s1","10",507.333333333333
"30",11,"Div0","Leg+",15,4.97452104819391,"s1","10",507.333333333333
"31",12,"Div1","Leg+",-15,12.701270022755,"s1","9",532
"32",12,"Div1","Leg+",0,4.8643472024594,"s1","9",532
"33",12,"Div1","Leg+",15,14,"s1","9",532
"34",13,"Div2","Leg+",-15,6.09630337856955,"s1","8",508.333333333333
"35",13,"Div2","Leg+",0,5.105350128817,"s1","8",508.333333333333
"36",13,"Div2","Leg+",15,3.9252414951701,"s1","8",508.333333333333
"37",14,"Div3","Leg+",-15,17.111030478955,"s1","7",521.333333333333
"38",14,"Div3","Leg+",0,10.0032730718066,"s1","7",521.333333333333
"39",14,"Div3","Leg+",15,11.4020150214517,"s1","7",521.333333333333
"40",15,"Div0","Leg+",-15,NA,"s1","6",549.666666666667
"41",15,"Div0","Leg+",0,4.06114053971968,"s1","6",549.666666666667
"42",15,"Div0","Leg+",15,8.01568358460748,"s1","6",549.666666666667
"43",16,"Div1","Leg+",0,4.28828105461296,"s1","5",553
"44",16,"Div1","Leg+",15,3.5412699771079,"s1","5",553
"45",17,"Div2","Leg+",-15,12.3484555682067,"s1","4",556
"46",17,"Div2","Leg+",0,18.5,"s1","4",556
"47",18,"Div3","Leg+",-15,13.9203896944783,"s1","3",541
"48",18,"Div3","Leg+",0,9.95800632221496,"s1","3",541
"49",18,"Div3","Leg+",15,10.3880597014925,"s1","3",541
"50",19,"Div0","Leg+",-15,7.8611648355013,"s1","2",547.666666666667
"51",19,"Div0","Leg+",0,5.64327060642963,"s1","2",547.666666666667
"52",19,"Div0","Leg+",15,5.61225103743617,"s1","2",547.666666666667
"53",20,"Div1","Leg+",-15,2.44657755782459,"s1","1",530.333333333333
"54",20,"Div1","Leg+",0,9.57922629369722,"s1","1",530.333333333333
"55",20,"Div1","Leg+",15,8.76556572939082,"s1","1",530.333333333333
"56",21,"Div2","Leg-",-15,7.08888664682438,"s2","1",530.333333333333
"57",21,"Div2","Leg-",0,6.99615587487811,"s2","1",530.333333333333
"58",21,"Div2","Leg-",15,9.12843154236521,"s2","1",530.333333333333
"59",22,"Div3","Leg-",-15,12.0224502108926,"s2","2",547.666666666667
"60",22,"Div3","Leg-",0,10.3296398891967,"s2","2",547.666666666667
"61",22,"Div3","Leg-",15,13.9716321823252,"s2","2",547.666666666667
"62",23,"Div0","Leg-",-15,NA,"s2","3",541
"63",23,"Div0","Leg-",0,10.3671787186212,"s2","3",541
"64",23,"Div0","Leg-",15,12.2864651484188,"s2","3",541
"65",24,"Div1","Leg-",-15,12.7786450027862,"s2","4",556
"66",24,"Div1","Leg-",0,6.37092231549588,"s2","4",556
"67",24,"Div1","Leg-",15,9.775148050385,"s2","4",556
"68",25,"Div2","Leg-",-15,12.374504115769,"s2","5",553
"69",25,"Div2","Leg-",0,8.32281695204709,"s2","5",553
"70",25,"Div2","Leg-",15,8.2195614153101,"s2","5",553
"71",26,"Div3","Leg-",-15,15.0727969348659,"s2","6",549.666666666667
"72",26,"Div3","Leg-",0,5.19133971092732,"s2","6",549.666666666667
"73",26,"Div3","Leg-",15,16.1559502793601,"s2","6",549.666666666667
"74",27,"Div0","Leg-",-15,11.2992125041888,"s2","7",521.333333333333
"75",27,"Div0","Leg-",0,7.69748455950212,"s2","7",521.333333333333
"76",27,"Div0","Leg-",15,6.39884135472372,"s2","7",521.333333333333
"77",28,"Div1","Leg-",-15,12.349021737535,"s2","8",508.333333333333
"78",28,"Div1","Leg-",0,3.51172962226642,"s2","8",508.333333333333
"79",28,"Div1","Leg-",15,8.19403041083142,"s2","8",508.333333333333
"80",29,"Div2","Leg-",-15,9.57602880189582,"s2","9",532
"81",29,"Div2","Leg-",0,12.3971813410651,"s2","9",532
"82",29,"Div2","Leg-",15,5.87293473042053,"s2","9",532
"83",30,"Div3","Leg-",-15,5.63288447909284,"s2","10",507.333333333333
"84",30,"Div3","Leg-",0,7.50533583064727,"s2","10",507.333333333333
"85",30,"Div3","Leg-",15,5.39827454096547,"s2","10",507.333333333333
"86",31,"Div2","Leg+",-15,5.91245692223002,"s2","10",523.333333333333
"87",31,"Div2","Leg+",0,8.63047917067761,"s2","10",523.333333333333
"88",31,"Div2","Leg+",15,10.9743831674294,"s2","10",523.333333333333
"89",32,"Div3","Leg+",-15,6.7174438629335,"s2","9",527
"90",32,"Div3","Leg+",0,13.2477590534242,"s2","9",527
"91",32,"Div3","Leg+",15,10.948130493607,"s2","9",527
"92",33,"Div0","Leg+",-15,7.9116564417178,"s2","8",523.333333333333
"93",33,"Div0","Leg+",0,7.66054405749321,"s2","8",523.333333333333
"94",33,"Div0","Leg+",15,8.11097584013768,"s2","8",523.333333333333
"95",34,"Div1","Leg+",-15,9.01096446910931,"s2","7",546
"96",34,"Div1","Leg+",0,12.419290235187,"s2","7",546
"97",34,"Div1","Leg+",15,12.2449669136326,"s2","7",546
"98",35,"Div2","Leg+",-15,12.9431128598742,"s2","6",553.333333333333
"99",35,"Div2","Leg+",0,12.7125979422773,"s2","6",553.333333333333
"100",35,"Div2","Leg+",15,10.4966767262519,"s2","6",553.333333333333
"101",36,"Div3","Leg+",-15,10.5,"s2","5",584.666666666667
"102",36,"Div3","Leg+",15,10.6746380853963,"s2","5",584.666666666667
"103",37,"Div0","Leg+",-15,13.7938252223967,"s2","4",551
"104",37,"Div0","Leg+",0,7.71133770332606,"s2","4",551
"105",37,"Div0","Leg+",15,12.3271985977747,"s2","4",551
"106",38,"Div1","Leg+",-15,8.37268875664291,"s2","3",564
"107",38,"Div1","Leg+",0,6.78251706648112,"s2","3",564
"108",38,"Div1","Leg+",15,10.8031741592673,"s2","3",564
"109",39,"Div2","Leg+",-15,10.9889867115112,"s2","2",544
"110",39,"Div2","Leg+",0,11.4201532296449,"s2","2",544
"111",39,"Div2","Leg+",15,12.3511313245464,"s2","2",544
"112",40,"Div3","Leg+",-15,7.79711712208782,"s2","1",488.79
"113",40,"Div3","Leg+",0,11.1020072872779,"s2","1",488.79
"114",40,"Div3","Leg+",15,8.50016873552996,"s2","1",488.79
"115",41,"Div1","Leg-",-15,12.6311922039617,"s2","11",507.333333333333
"116",41,"Div1","Leg-",0,5.17056753367582,"s2","11",507.333333333333
"117",41,"Div1","Leg-",15,3.99460452882362,"s2","11",507.333333333333
"118",42,"Div2","Leg+",-15,4.3628994250165,"s2","11",523.333333333333
"119",42,"Div2","Leg+",0,10.9778518197601,"s2","11",523.333333333333
"120",42,"Div2","Leg+",15,4.81331273873384,"s2","11",523.333333333333
