"","RT","div","leg","distance","id_jour","id_taxo","strata","NOD","serie","position","PAR","numPL","id_loca","DW","FW"
"1",11,"Div0","Leg+",-24,42,"Tri_alexa",1,24,"s1","10",507.333333333333,"17","RT11_d-24",8.5,91.5
"2",11,"Div0","Leg+",-24,42,"Tri_alexa",2,1,"s1","10",507.333333333333,"17","RT11_d-24",13.3,196.5
"3",11,"Div0","Leg+",-24,42,"Tri_alexa",3,0,"s1","10",507.333333333333,"17","RT11_d-24",0.7,6.62
"4",11,"Div0","Leg+",-9,42,"Tri_alexa",1,19,"s1","10",507.333333333333,"12","RT11_d-9",52.8,398.1
"5",11,"Div0","Leg+",-9,42,"Tri_alexa",2,39,"s1","10",507.333333333333,"12","RT11_d-9",36.9,285.2
"6",11,"Div0","Leg+",-9,42,"Tri_alexa",3,19,"s1","10",507.333333333333,"12","RT11_d-9",17.6,199.8
"7",11,"Div0","Leg+",-9,42,"Tri_alexa",4,19,"s1","10",507.333333333333,"12","RT11_d-9",10.8,136.2
"8",11,"Div0","Leg+",-3,42,"Tri_alexa",1,46,"s1","10",507.333333333333,"10","RT11_d-3",32.3,225
"9",11,"Div0","Leg+",-3,42,"Tri_alexa",2,17,"s1","10",507.333333333333,"10","RT11_d-3",11.1,116.5
"10",11,"Div0","Leg+",-3,42,"Tri_alexa",3,0,"s1","10",507.333333333333,"10","RT11_d-3",0.9,7.8
"11",11,"Div0","Leg+",6,42,"Tri_alexa",1,27,"s1","10",507.333333333333,"7","RT11_d+6",53.4,502.6
"12",11,"Div0","Leg+",6,42,"Tri_alexa",2,24,"s1","10",507.333333333333,"7","RT11_d+6",41.6,506.5
"13",11,"Div0","Leg+",6,42,"Tri_alexa",3,0,"s1","10",507.333333333333,"7","RT11_d+6",4.7,31.5
"14",11,"Div0","Leg+",6,42,"Tri_alexa",4,0,"s1","10",507.333333333333,"7","RT11_d+6",2.2,25.1
"15",11,"Div0","Leg+",12,42,"Tri_alexa",1,26,"s1","10",507.333333333333,"5","RT11_d+12",25.9,259.8
"16",11,"Div0","Leg+",12,42,"Tri_alexa",2,3,"s1","10",507.333333333333,"5","RT11_d+12",18.5,249.1
"17",11,"Div0","Leg+",12,42,"Tri_alexa",3,0,"s1","10",507.333333333333,"5","RT11_d+12",0.3,2.7
"18",11,"Div0","Leg+",21,42,"Tri_alexa",1,20,"s1","10",507.333333333333,"2","RT11_d+21",71.1,540.2
"19",11,"Div0","Leg+",21,42,"Tri_alexa",2,28,"s1","10",507.333333333333,"2","RT11_d+21",40.8,372.8
"20",11,"Div0","Leg+",21,42,"Tri_alexa",3,0,"s1","10",507.333333333333,"2","RT11_d+21",23,238.8
"21",11,"Div0","Leg+",21,42,"Tri_alexa",4,0,"s1","10",507.333333333333,"2","RT11_d+21",15.2,198.3
"22",12,"Div1","Leg+",-24,42,"Tri_alexa",1,31,"s1","9",532,"17","RT12_d-24",22.2,242.7
"23",12,"Div1","Leg+",-24,42,"Tri_alexa",2,0,"s1","9",532,"17","RT12_d-24",7.7,23.9
"24",12,"Div1","Leg+",-18,42,"Tri_alexa",1,7,"s1","9",532,"15","RT12_d-18",3.9,48.8
"25",12,"Div1","Leg+",-18,42,"Tri_alexa",2,7,"s1","9",532,"15","RT12_d-18",4.9,64.4
"26",12,"Div1","Leg+",-9,42,"Tri_alexa",1,0,"s1","9",532,"12","RT12_d-9",9.8,119
"27",12,"Div1","Leg+",-9,42,"Tri_alexa",2,0,"s1","9",532,"12","RT12_d-9",1.7,22.4
"28",12,"Div1","Leg+",-3,42,"Tri_alexa",1,27,"s1","9",532,"10","RT12_d-3",25.2,244.6
"29",12,"Div1","Leg+",-3,42,"Tri_alexa",2,6,"s1","9",532,"10","RT12_d-3",16.8,191.2
"30",12,"Div1","Leg+",12,42,"Tri_alexa",1,24,"s1","9",532,"5","RT12_d+12",9.7,99.6
"31",12,"Div1","Leg+",12,42,"Tri_alexa",2,3,"s1","9",532,"5","RT12_d+12",2.4,34.4
"32",12,"Div1","Leg+",21,42,"Tri_alexa",1,30,"s1","9",532,"2","RT12_d+21",40.5,335
"33",12,"Div1","Leg+",21,42,"Tri_alexa",2,18,"s1","9",532,"2","RT12_d+21",27.8,273.7
"34",12,"Div1","Leg+",21,42,"Tri_alexa",3,0,"s1","9",532,"2","RT12_d+21",8.8,131.3
"35",12,"Div1","Leg+",21,42,"Tri_alexa",4,0,"s1","9",532,"2","RT12_d+21",2.8,26.47
"36",13,"Div2","Leg+",-24,42,"Tri_alexa",1,6,"s1","8",508.333333333333,"17","RT13_d-24",3.9,24.7
"37",13,"Div2","Leg+",-24,42,"Tri_alexa",2,2,"s1","8",508.333333333333,"17","RT13_d-24",1,3.6
"38",13,"Div2","Leg+",-18,42,"Tri_alexa",1,9,"s1","8",508.333333333333,"15","RT13_d-18",5.9,62.6
"39",13,"Div2","Leg+",-18,43,"Tri_alexa",2,0,"s1","8",508.333333333333,"15","RT13_d-18",2,23.9
"40",13,"Div2","Leg+",-9,42,"Tri_alexa",1,10,"s1","8",508.333333333333,"12","RT13_d-9",26.3,242.2
"41",13,"Div2","Leg+",-9,43,"Tri_alexa",2,0,"s1","8",508.333333333333,"12","RT13_d-9",1.6,16
"42",13,"Div2","Leg+",-3,42,"Tri_alexa",1,24,"s1","8",508.333333333333,"10","RT13_d-3",7.5,50.9
"43",13,"Div2","Leg+",-3,42,"Tri_alexa",2,3,"s1","8",508.333333333333,"10","RT13_d-3",14.7,143.7
"44",13,"Div2","Leg+",-3,43,"Tri_alexa",3,0,"s1","8",508.333333333333,"10","RT13_d-3",3.9,39
"45",13,"Div2","Leg+",-3,43,"Tri_alexa",4,0,"s1","8",508.333333333333,"10","RT13_d-3",0.3,3.9
"46",13,"Div2","Leg+",6,42,"Tri_alexa",1,5,"s1","8",508.333333333333,"7","RT13_d+6",18.1,146.2
"47",13,"Div2","Leg+",6,42,"Tri_alexa",2,4,"s1","8",508.333333333333,"7","RT13_d+6",20.5,138.4
"48",13,"Div2","Leg+",6,43,"Tri_alexa",3,0,"s1","8",508.333333333333,"7","RT13_d+6",0.5,2.6
"49",13,"Div2","Leg+",12,42,"Tri_alexa",1,5,"s1","8",508.333333333333,"5","RT13_d+12",4.5,48.2
"50",13,"Div2","Leg+",12,43,"Tri_alexa",2,0,"s1","8",508.333333333333,"5","RT13_d+12",0.1,0.95
"51",13,"Div2","Leg+",21,42,"Tri_alexa",1,14,"s1","8",508.333333333333,"2","RT13_d+21",21.4,187.5
"52",13,"Div2","Leg+",21,42,"Tri_alexa",2,6,"s1","8",508.333333333333,"2","RT13_d+21",8.6,74.4
"53",13,"Div2","Leg+",21,43,"Tri_alexa",3,0,"s1","8",508.333333333333,"2","RT13_d+21",1.2,10.3
"54",14,"Div3","Leg+",-9,43,"Tri_alexa",1,10,"s1","7",521.333333333333,"12","RT14_d-9",18.7,119.9
"55",14,"Div3","Leg+",-9,43,"Tri_alexa",2,81,"s1","7",521.333333333333,"12","RT14_d-9",37,340.8
"56",14,"Div3","Leg+",-9,43,"Tri_alexa",3,21,"s1","7",521.333333333333,"12","RT14_d-9",28.5,348.2
"57",14,"Div3","Leg+",-9,43,"Tri_alexa",4,6,"s1","7",521.333333333333,"12","RT14_d-9",9.1,129
"58",14,"Div3","Leg+",-3,43,"Tri_alexa",1,20,"s1","7",521.333333333333,"10","RT14_d-3",14.8,161.4
"59",14,"Div3","Leg+",-3,43,"Tri_alexa",2,0,"s1","7",521.333333333333,"10","RT14_d-3",7.4,76.6
"60",14,"Div3","Leg+",6,43,"Tri_alexa",1,15,"s1","7",521.333333333333,"7","RT14_d+6",8.5,161.4
"61",14,"Div3","Leg+",6,43,"Tri_alexa",2,1,"s1","7",521.333333333333,"7","RT14_d+6",2.6,24.58
"62",14,"Div3","Leg+",12,43,"Tri_alexa",1,16,"s1","7",521.333333333333,"5","RT14_d+12",7.4,66.4
"63",14,"Div3","Leg+",12,43,"Tri_alexa",2,0,"s1","7",521.333333333333,"5","RT14_d+12",0.7,7.4
"64",14,"Div3","Leg+",21,43,"Tri_alexa",1,0,"s1","7",521.333333333333,"2",NA,NA,NA
"65",15,"Div0","Leg+",-24,43,"Tri_alexa",1,7,"s1","6",549.666666666667,"17","RT15_d-24",11.8,100.4
"66",15,"Div0","Leg+",-18,43,"Tri_alexa",1,3,"s1","6",549.666666666667,"15","RT15_d-18",11.2,109.6
"67",15,"Div0","Leg+",-9,43,"Tri_alexa",1,7,"s1","6",549.666666666667,"12","RT15_d-9",1.9,17.97
"68",15,"Div0","Leg+",-9,43,"Tri_alexa",2,3,"s1","6",549.666666666667,"12","RT15_d-9",4,26.2
"69",15,"Div0","Leg+",-3,43,"Tri_alexa",1,34,"s1","6",549.666666666667,"10","RT15_d-3",15.4,146.1
"70",15,"Div0","Leg+",-3,43,"Tri_alexa",2,7,"s1","6",549.666666666667,"10","RT15_d-3",7.1,86.8
"71",15,"Div0","Leg+",-3,43,"Tri_alexa",3,0,"s1","6",549.666666666667,"10","RT15_d-3",0.9,15.2
"72",15,"Div0","Leg+",12,43,"Tri_alexa",1,39,"s1","6",549.666666666667,"5","RT15_d+12",18.7,166.3
"73",15,"Div0","Leg+",12,43,"Tri_alexa",2,8,"s1","6",549.666666666667,"5","RT15_d+12",16.7,191.7
"74",15,"Div0","Leg+",12,43,"Tri_alexa",3,3,"s1","6",549.666666666667,"5","RT15_d+12",9.5,121.9
"75",15,"Div0","Leg+",12,43,"Tri_alexa",4,0,"s1","6",549.666666666667,"5","RT15_d+12",4.3,74
"76",15,"Div0","Leg+",21,43,"Tri_alexa",1,50,"s1","6",549.666666666667,"2","RT15_d+21",36.5,263.3
"77",15,"Div0","Leg+",21,43,"Tri_alexa",2,58,"s1","6",549.666666666667,"2","RT15_d+21",52.5,546.9
"78",15,"Div0","Leg+",21,43,"Tri_alexa",3,0,"s1","6",549.666666666667,"2","RT15_d+21",26.1,299.9
"79",15,"Div0","Leg+",21,43,"Tri_alexa",4,3,"s1","6",549.666666666667,"2","RT15_d+21",8.4,145.1
"80",16,"Div1","Leg+",-24,43,"Tri_alexa",1,5,"s1","5",553,"17","RT16_d-24",4.1,33
"81",16,"Div1","Leg+",-24,43,"Tri_alexa",2,6,"s1","5",553,"17","RT16_d-24",16.2,187.8
"82",16,"Div1","Leg+",-18,43,"Tri_alexa",1,10,"s1","5",553,"15","RT16_d-18",14.2,146.6
"83",16,"Div1","Leg+",-18,43,"Tri_alexa",2,0,"s1","5",553,"15","RT16_d-18",1.1,12.8
"84",16,"Div1","Leg+",-9,43,"Tri_alexa",1,0,"s1","5",553,"12",NA,NA,NA
"85",16,"Div1","Leg+",6,43,"Tri_alexa",1,19,"s1","5",553,"7","RT16_d+6",10.7,117.2
"86",16,"Div1","Leg+",6,43,"Tri_alexa",2,5,"s1","5",553,"7","RT16_d+6",4.1,49.5
"87",16,"Div1","Leg+",12,43,"Tri_alexa",1,13,"s1","5",553,"5","RT16_d+12",15,120.2
"88",16,"Div1","Leg+",12,43,"Tri_alexa",2,5,"s1","5",553,"5","RT16_d+12",12.1,114.3
"89",16,"Div1","Leg+",12,43,"Tri_alexa",3,0,"s1","5",553,"5","RT16_d+12",0.9,11
"90",16,"Div1","Leg+",21,43,"Tri_alexa",1,17,"s1","5",553,"2","RT16_d+21",5.9,60.9
"91",17,"Div2","Leg+",-24,43,"Tri_alexa",1,5,"s1","4",556,"17","RT17_d-24",6,54.3
"92",17,"Div2","Leg+",-24,43,"Tri_alexa",2,8,"s1","4",556,"17","RT17_d-24",2.8,20.6
"93",17,"Div2","Leg+",-18,43,"Tri_alexa",1,12,"s1","4",556,"15","RT17_d-18",7.3,64.7
"94",17,"Div2","Leg+",-18,43,"Tri_alexa",2,3,"s1","4",556,"15","RT17_d-18",1.7,21.1
"95",17,"Div2","Leg+",-9,43,"Tri_alexa",1,6,"s1","4",556,"12","RT17_d-9",5.3,50.9
"96",17,"Div2","Leg+",-9,43,"Tri_alexa",2,15,"s1","4",556,"12","RT17_d-9",11,129.6
"97",17,"Div2","Leg+",-9,43,"Tri_alexa",3,0,"s1","4",556,"12","RT17_d-9",1.8,29.7
"98",17,"Div2","Leg+",-3,43,"Tri_alexa",1,12,"s1","4",556,"10","RT17_d-3",43.7,307.7
"99",17,"Div2","Leg+",-3,43,"Tri_alexa",2,43,"s1","4",556,"10","RT17_d-3",54.6,597.3
"100",17,"Div2","Leg+",-3,43,"Tri_alexa",3,3,"s1","4",556,"10","RT17_d-3",8.3,101.2
"101",17,"Div2","Leg+",-3,43,"Tri_alexa",4,0,"s1","4",556,"10","RT17_d-3",3.5,33.09
"102",17,"Div2","Leg+",6,43,"Tri_alexa",1,12,"s1","4",556,"7","RT17_d+6",18.3,180.5
"103",17,"Div2","Leg+",6,43,"Tri_alexa",2,0,"s1","4",556,"7","RT17_d+6",5.8,79.4
"104",17,"Div2","Leg+",21,43,"Tri_alexa",1,24,"s1","4",556,"2","RT17_d+21",27.3,286
"105",17,"Div2","Leg+",21,43,"Tri_alexa",2,0,"s1","4",556,"2","RT17_d+21",23,299.7
"106",17,"Div2","Leg+",21,43,"Tri_alexa",3,0,"s1","4",556,"2","RT17_d+21",1.5,14.18
"107",18,"Div3","Leg+",-24,43,"Tri_alexa",1,3,"s1","3",541,"17","RT18_d-24",9.9,91.5
"108",18,"Div3","Leg+",-24,43,"Tri_alexa",2,0,"s1","3",541,"17","RT18_d-24",3,28.9
"109",18,"Div3","Leg+",-18,43,"Tri_alexa",1,11,"s1","3",541,"15","RT18_d-18",14,119.1
"110",18,"Div3","Leg+",-18,43,"Tri_alexa",2,5,"s1","3",541,"15","RT18_d-18",5.4,49
"111",18,"Div3","Leg+",-3,43,"Tri_alexa",1,14,"s1","3",541,"10","RT18_d-3",5.6,58
"112",18,"Div3","Leg+",-3,43,"Tri_alexa",2,0,"s1","3",541,"10","RT18_d-3",2.3,18.8
"113",18,"Div3","Leg+",6,43,"Tri_alexa",1,36,"s1","3",541,"7","RT18_d+6",9.8,78.2
"114",18,"Div3","Leg+",6,43,"Tri_alexa",2,15,"s1","3",541,"7","RT18_d+6",6.1,103.1
"115",18,"Div3","Leg+",6,43,"Tri_alexa",3,1,"s1","3",541,"7","RT18_d+6",8.1,99.5
"116",18,"Div3","Leg+",6,43,"Tri_alexa",4,0,"s1","3",541,"7","RT18_d+6",4.8,24.3
"117",18,"Div3","Leg+",12,43,"Tri_alexa",1,4,"s1","3",541,"5","RT18_d+12",7.7,71.2
"118",18,"Div3","Leg+",21,43,"Tri_alexa",1,7,"s1","3",541,"2","RT18_d+21",6.1235619,57.9
"119",18,"Div3","Leg+",21,43,"Tri_alexa",2,3,"s1","3",541,"2",NA,NA,NA
"120",19,"Div0","Leg+",-24,43,"Tri_alexa",1,3,"s1","2",547.666666666667,"17","RT19_d-24",5.2,29.1
"121",19,"Div0","Leg+",-24,43,"Tri_alexa",2,1,"s1","2",547.666666666667,"17","RT19_d-24",1.3,11.7
"122",19,"Div0","Leg+",-18,43,"Tri_alexa",1,9,"s1","2",547.666666666667,"15","RT19_d-18",17.3,151.5
"123",19,"Div0","Leg+",-18,43,"Tri_alexa",2,12,"s1","2",547.666666666667,"15","RT19_d-18",15.1,155.3
"124",19,"Div0","Leg+",-18,44,"Tri_alexa",3,0,"s1","2",547.666666666667,"15","RT19_d-18",1.3,18.7
"125",19,"Div0","Leg+",-9,43,"Tri_alexa",1,10,"s1","2",547.666666666667,"12","RT19_d-9",7.3,77.1
"126",19,"Div0","Leg+",-9,44,"Tri_alexa",2,0,"s1","2",547.666666666667,"12","RT19_d-9",1.5,21.9
"127",19,"Div0","Leg+",-3,43,"Tri_alexa",1,8,"s1","2",547.666666666667,"10","RT19_d-3",10.3,45
"128",19,"Div0","Leg+",-3,43,"Tri_alexa",2,16,"s1","2",547.666666666667,"10","RT19_d-3",4.3,40.65770936
"129",19,"Div0","Leg+",-3,43,"Tri_alexa",3,8,"s1","2",547.666666666667,"10","RT19_d-3",1.6,15.12845
"130",19,"Div0","Leg+",-3,44,"Tri_alexa",4,0,"s1","2",547.666666666667,"10","RT19_d-3",5.5,20.9
"131",19,"Div0","Leg+",6,43,"Tri_alexa",1,14,"s1","2",547.666666666667,"7","RT19_d+6",3.9,34.2
"132",19,"Div0","Leg+",6,43,"Tri_alexa",2,7,"s1","2",547.666666666667,"7","RT19_d+6",4.2,42.3
"133",19,"Div0","Leg+",12,43,"Tri_alexa",1,32,"s1","2",547.666666666667,"5","RT19_d+12",8.9,82.1
"134",19,"Div0","Leg+",12,44,"Tri_alexa",2,0,"s1","2",547.666666666667,"5","RT19_d+12",3,21.6
"135",20,"Div1","Leg+",-24,44,"Tri_alexa",1,15,"s1","1",530.333333333333,"17","RT20_d-24",7.9,53.5
"136",20,"Div1","Leg+",-24,44,"Tri_alexa",2,76,"s1","1",530.333333333333,"17","RT20_d-24",35.1,323.8
"137",20,"Div1","Leg+",-24,44,"Tri_alexa",3,0,"s1","1",530.333333333333,"17","RT20_d-24",1,14.4
"138",20,"Div1","Leg+",-18,44,"Tri_alexa",1,17,"s1","1",530.333333333333,"15","RT20_d-18",3.5,38.1
"139",20,"Div1","Leg+",-18,44,"Tri_alexa",2,0,"s1","1",530.333333333333,"15","RT20_d-18",1.4,19.3
"140",20,"Div1","Leg+",-9,44,"Tri_alexa",1,18,"s1","1",530.333333333333,"12","RT20_d-9",10.7,101.8
"141",20,"Div1","Leg+",-3,44,"Tri_alexa",1,16,"s1","1",530.333333333333,"10","RT20_d-3",4.8,64.3
"142",20,"Div1","Leg+",-3,44,"Tri_alexa",2,0,"s1","1",530.333333333333,"10","RT20_d-3",0.6,7.7
"143",20,"Div1","Leg+",6,44,"Tri_alexa",1,10,"s1","1",530.333333333333,"7","RT20_d+6",4.4,54.4
"144",20,"Div1","Leg+",6,44,"Tri_alexa",2,0,"s1","1",530.333333333333,"7","RT20_d+6",0.6,8.7
"145",20,"Div1","Leg+",12,44,"Tri_alexa",1,24,"s1","1",530.333333333333,"5","RT20_d+12",29.3,209.1
"146",20,"Div1","Leg+",12,44,"Tri_alexa",2,18,"s1","1",530.333333333333,"5","RT20_d+12",18.6,190.4
"147",20,"Div1","Leg+",21,44,"Tri_alexa",1,17,"s1","1",530.333333333333,"2","RT20_d+21",5.2,49.6
"148",20,"Div1","Leg+",21,44,"Tri_alexa",2,9,"s1","1",530.333333333333,"2","RT20_d+21",4,54.8
"149",31,"Div2","Leg+",-24,42,"Tri_alexa",1,34,"s2","10",523.333333333333,"1","RT31_d-24",29.6,165.4
"150",31,"Div2","Leg+",-24,42,"Tri_alexa",2,26,"s2","10",523.333333333333,"1","RT31_d-24",32.6,214.4
"151",31,"Div2","Leg+",-24,42,"Tri_alexa",3,5,"s2","10",523.333333333333,"1","RT31_d-24",17.2,131
"152",31,"Div2","Leg+",-18,42,"Tri_alexa",1,41,"s2","10",523.333333333333,"3","RT31_d-18",13.4,94.4
"153",31,"Div2","Leg+",-18,42,"Tri_alexa",2,30,"s2","10",523.333333333333,"3","RT31_d-18",12.3,89.6
"154",31,"Div2","Leg+",-18,42,"Tri_alexa",3,1,"s2","10",523.333333333333,"3","RT31_d-18",6.7,72.5
"155",31,"Div2","Leg+",-9,42,"Tri_alexa",1,13,"s2","10",523.333333333333,"6","RT31_d-9",6.4,43.6
"156",31,"Div2","Leg+",-9,42,"Tri_alexa",2,0,"s2","10",523.333333333333,"6","RT31_d-9",4.2,20.6
"157",31,"Div2","Leg+",-3,42,"Tri_alexa",1,14,"s2","10",523.333333333333,"8","RT31_d-3",8.9,73.1
"158",31,"Div2","Leg+",-3,42,"Tri_alexa",2,0,"s2","10",523.333333333333,"8","RT31_d-3",1.6,10.7
"159",31,"Div2","Leg+",6,42,"Tri_alexa",1,18,"s2","10",523.333333333333,"11","RT31_d+6",18.3,114.1
"160",31,"Div2","Leg+",6,42,"Tri_alexa",2,14,"s2","10",523.333333333333,"11","RT31_d+6",24.2,111.5
"161",31,"Div2","Leg+",6,42,"Tri_alexa",3,0,"s2","10",523.333333333333,"11","RT31_d+6",8.2,71.3
"162",31,"Div2","Leg+",12,42,"Tri_alexa",1,15,"s2","10",523.333333333333,"13","RT31_d+12",3.8,32.4
"163",31,"Div2","Leg+",12,42,"Tri_alexa",2,21,"s2","10",523.333333333333,"13","RT31_d+12",11.8,89.8
"164",31,"Div2","Leg+",12,42,"Tri_alexa",3,1,"s2","10",523.333333333333,"13","RT31_d+12",0.3,2.1
