Nom;Code analyse N;id_taxo;distance;org;RT;leg;div;Pcont;Ncont;DM
158A;158_A_T BN;Bra_napus;-15;Stem;27;Leg-;Div0;2.66334122329284;2.9769;56.19
37A;37_A_T BN;Bra_napus;-15;Stem;30;Leg-;Div3;1.47635841045182;3.388;98.54
128A;128_A_T BN;Bra_napus;-15;Stem;33;Leg+;Div0;2.26561047272727;2.7485;85.42
9B;9_B_T BN;Bra_napus;-15;Stem;42;Leg+;Div2;2.25904308141658;3.3555;130.6
2197A;2197_A_T BN;Bra_napus;-15;Stem;14;Leg+;Div3;-0.0718080148423005;2.5927;24.7
2202A;2202_A_T BN;Bra_napus;-15;Stem;18;Leg+;Div3;1.16326204906205;2.0516;70.8
2193A;2193_A_T BN;Bra_napus;-15;Stem;12;Leg+;Div1;1.48497693015646;1.209;38.6
54B;54_B_T BN;Bra_napus;-15;Stem;35;Leg+;Div2;2.45033078412641;2.207;98.4
52B;52_B_T BN;Bra_napus;-15;Stem;39;Leg+;Div2;2.22960167272727;2.5998;137.4
39B;39_B_T BN;Bra_napus;-15;Stem;25;Leg-;Div2;1.79336191343726;3.0231;114.9
101A;101_A_T BN;Bra_napus;-15;Stem;28;Leg-;Div1;2.30437115458381;3.1172;57.94
48A;48_A_T BN;Bra_napus;-15;Stem;31;Leg+;Div2;2.04785323636364;2.7859;93.69
155A;155_A_T BN;Bra_napus;-15;Stem;40;Leg+;Div3;2.0750119604946;2.2132;79.83
2176A;2176_A_T BN;Bra_napus;-15;Stem;1;Leg-;Div0;2.23733598473961;2.1354;153.5
2199A;2199_A_T BN;Bra_napus;-15;Stem;15;Leg+;Div0;1.58306082589286;1.4129;44.3
2204A;2204_A_T BN;Bra_napus;-15;Stem;19;Leg+;Div0;1.64930980166715;1.7288;99.4
50B;50_B_T BN;Bra_napus;-15;Stem;21;Leg-;Div2;1.82814236264737;2.0542;203
185A;185_A_T BN;Bra_napus;-15;Stem;36;Leg+;Div3;1.36841998240803;2.6492;49.54
48B;48_B_T BN;Bra_napus;-15;Stem;22;Leg-;Div3;2.26900455198725;2.3026;128.6
174A;174_A_T BN;Bra_napus;-15;Stem;26;Leg-;Div3;3.46295243636364;2.0689;76.54
72A;72_A_T BN;Bra_napus;-15;Stem;29;Leg-;Div2;2.26765937516299;2.5247;98.71
27B;27_B_T BN;Bra_napus;-15;Stem;32;Leg+;Div3;2.36007504415584;2.9236;250
12A;12_A_T BN;Bra_napus;-15;Stem;41;Leg-;Div1;1.08511896835559;2.2094;33.93
2179A;2179_A_T BN;Bra_napus;-15;Stem;3;Leg-;Div2;2.07297637352627;1.7871;113.4
2184A;2184_A_T BN;Bra_napus;-15;Stem;6;Leg-;Div1;1.95175059211204;2.2694;148.9
2189A;2189_A_T BN;Bra_napus;-15;Stem;9;Leg-;Div0;1.89748562013622;2.5994;108.2
2309B;2309_B_R BN;Bra_napus;15;Taproot;11;Leg+;Div0;0.0568750226671019;1.7406;73.8
2280B;2280_B_R BN;Bra_napus;15;Taproot;35;Leg+;Div2;1.67973706792984;2.4146;164.1
2284B;2284_B_R BN;Bra_napus;15;Taproot;38;Leg+;Div1;1.64798827253917;2.4237;305.1
2300B;2300_B_R BN;Bra_napus;15;Taproot;3;Leg-;Div2;1.92584408451878;2.077;68.6
2315B;2315_B_R BN;Bra_napus;15;Taproot;15;Leg+;Div0;2.24692626105357;1.5902;111.2
289B;289_B_R BN;Bra_napus;15;Taproot;22;Leg-;Div3;2.625364868932;2.7467;150
2258B;2258_B_R BN;Bra_napus;15;Taproot;25;Leg-;Div2;1.95097250167673;1.634;164.7
643A;643_A_R BN;Bra_napus;15;Taproot;29;Leg-;Div2;1.88640076565841;2.5908;86
2273B;2273_B_R BN;Bra_napus;15;Taproot;32;Leg+;Div3;2.15486462391224;2.3252;95.8
2290B;2290_B_R BN;Bra_napus;15;Taproot;41;Leg-;Div1;1.72779953917051;2.7096;110.9
2217B;2217_B_LM BN;Bra_napus;-15;Limb;6;Leg-;Div1;1.76658146573978;2.7898;255.6
2180A;2180_A_T BN;Bra_napus;15;Stem;3;Leg-;Div2;1.43650082201263;1.8456;65.3
2190A;2190_A_T BN;Bra_napus;-15;Stem;10;Leg-;Div1;2.17454081111452;1.4048;48.3
2326B;2326_B_R BN;Bra_napus;15;Taproot;20;Leg+;Div1;2.63794695264575;2.1178;84.9
282B;282_B_R BN;Bra_napus;15;Taproot;36;Leg+;Div3;2.07283473760611;2.7144;252.5
2286B;2286_B_R BN;Bra_napus;15;Taproot;39;Leg+;Div2;2.16509018036072;2.7487;137.5
2331B;2331_B_R BN;Bra_napus;15;Taproot;13;Leg+;Div2;1.97268561425188;1.5036;134.4
2316B;2316_B_R BN;Bra_napus;15;Taproot;16;Leg+;Div1;1.74293187697614;1.6923;267.9
2252B;2252_B_R BN;Bra_napus;15;Taproot;23;Leg-;Div0;1.98889092389092;2.63435;94.7
2263B;2263_B_R BN;Bra_napus;15;Taproot;27;Leg-;Div0;2.57769539697251;2.1507;253.5
2270B;2270_B_R BN;Bra_napus;15;Taproot;30;Leg-;Div3;1.96279418803419;2.3925;199.1
2277B;2277_B_R BN;Bra_napus;15;Taproot;34;Leg+;Div1;0.0559552260037697;2.1973;104.9
2292B;2292_B_R BN;Bra_napus;15;Taproot;42;Leg+;Div2;0.0186586343939285;3.3051;78.8
2216B;2216_B_LM BN;Bra_napus;-15;Limb;3;Leg-;Div2;1.38703658843939;1.737;223.1
2188A;2188_A_T BN;Bra_napus;-15;Stem;8;Leg-;Div3;1.87284013605442;2.1973;96.4
2307B;2307_B_R BN;Bra_napus;15;Taproot;10;Leg-;Div1;2.43168982146849;1.7724;245.9
2250B;2250_B_R BN;Bra_napus;15;Taproot;21;Leg-;Div2;0.0189324701700939;2.038;78.8
2282B;2282_B_R BN;Bra_napus;15;Taproot;37;Leg+;Div0;2.51418157452304;2.7544;108.9
2295B;2295_B_R BN;Bra_napus;15;Taproot;1;Leg-;Div0;1.97084073960568;1.7899;298.5
2314B;2314_B_R BN;Bra_napus;15;Taproot;14;Leg+;Div3;2.00235334500395;1.7421;102.6
2323B;2323_B_R BN;Bra_napus;15;Taproot;19;Leg+;Div0;2.45655229224091;1.8667;165.1
2256B;2256_B_R BN;Bra_napus;15;Taproot;24;Leg-;Div1;0.442577175910509;2.0423;54
2266B;2266_B_R BN;Bra_napus;15;Taproot;28;Leg-;Div1;2.23633714374157;2.3233;140.4
2272B;2272_B_R BN;Bra_napus;15;Taproot;31;Leg+;Div2;2.0939325481955;2.3124;99.2
1067C;1067_C_R BN;Bra_napus;15;Taproot;40;Leg+;Div3;2.17906041514042;2.4134;274.5
2215A;2215_A_LM BN;Bra_napus;-15;Limb;11;Leg+;Div0;3.34725317989098;0.9486;44.2
2227B;2227_B_LM BN;Bra_napus;-15;Limb;15;Leg+;Div0;0.9852;0.9435;123.6
2221B;2221_B_LM BN;Bra_napus;-15;Limb;9;Leg-;Div0;1.72017821212992;2.8796;254.6
2210A;2210_A_LM BN;Bra_napus;-15;Limb;4;Leg-;Div3;1.66346189468926;1.4185;78.1
2218B;2218_B_LM BN;Bra_napus;-15;Limb;7;Leg-;Div2;1.0150153728467;1.4538;164.8
2230B;2230_B_LM BN;Bra_napus;-15;Limb;17;Leg+;Div2;1.40525177338805;2.3925;490.9
2235B;2235_B_LM BN;Bra_napus;-15;Limb;20;Leg+;Div1;1.19826989010989;2.1534;399.5
115B;115_B_LM BN;Bra_napus;-15;Limb;25;Leg-;Div2;0.990728025036642;2.7648;197.8
135B;135_B_LM BN;Bra_napus;-15;Limb;28;Leg-;Div1;1.14350513336429;3.069;196.5
123B;123_B_LM BN;Bra_napus;-15;Limb;31;Leg+;Div2;1.3752500867809;2.1336;152.1
124B;124_B_LM BN;Bra_napus;-15;Limb;34;Leg+;Div1;1.28298027273931;2.5946;320.7
100B;100_B_LM BN;Bra_napus;-15;Limb;35;Leg+;Div2;1.45387666659296;2.0495;167.3
2213A;2213_A_LM BN;Bra_napus;-15;Limb;10;Leg-;Div1;1.26512879003897;1.2338;209.2
2208A;2208_A_LM BN;Bra_napus;-15;Limb;2;Leg-;Div1;1.01318313080218;4.44385;34.9
2224B;2224_B_LM BN;Bra_napus;-15;Limb;13;Leg+;Div2;0.95571080062098;0.906;241.7
2231B;2231_B_LM BN;Bra_napus;-15;Limb;18;Leg+;Div3;1.0030732819202;2.2024;127.4
2223B;2223_B_LM BN;Bra_napus;-15;Limb;12;Leg+;Div1;1.22915519981918;0.8317;123.1
380A;380_A_LM BN;Bra_napus;-15;Limb;26;Leg-;Div3;2.3786;1.5871;205.27
137B;137_B_LM BN;Bra_napus;-15;Limb;29;Leg-;Div2;1.62859924700879;2.7319;270.7
146B;146_B_LM BN;Bra_napus;-15;Limb;32;Leg+;Div3;1.55117457392906;2.5063;420.5
92B;92_B_LM BN;Bra_napus;-15;Limb;40;Leg+;Div3;1.45904732542007;3.4002;308.1
69B;69_B_LM BN;Bra_napus;-15;Limb;36;Leg+;Div3;1.26702914220987;2.8454;150.2
2213B;2213_B_LM BN;Bra_napus;-15;Limb;1;Leg-;Div0;1.86130727555877;2.4297;369.8
2220B;2220_B_LM BN;Bra_napus;-15;Limb;8;Leg-;Div3;1.21393288871377;2.0865;185
2217A;2217_A_LM BN;Bra_napus;-15;Limb;14;Leg+;Div3;2.45810287241149;3.0224;69.6
2233B;2233_B_LM BN;Bra_napus;-15;Limb;19;Leg+;Div0;0.920504615384615;1.1938;246.1
475A;475_A_LM BN;Bra_napus;-15;Limb;24;Leg-;Div1;1.74052167398781;2.2198;100.9
142B;142_B_LM BN;Bra_napus;-15;Limb;27;Leg-;Div0;1.61705687526047;2.702;183.6
148B;148_B_LM BN;Bra_napus;-15;Limb;30;Leg-;Div3;1.29033493452655;3.69;218.6
143B;143_B_LM BN;Bra_napus;-15;Limb;33;Leg+;Div0;1.22501831501832;2.8195;309.6
429A;429_A_LM BN;Bra_napus;-15;Limb;41;Leg-;Div1;1.36546710622711;2.621;96.22
473A;473_A_LM BN;Bra_napus;-15;Limb;37;Leg+;Div0;1.99263185616127;1.3115;55.2
139B;139_B_LM BN;Bra_napus;-15;Limb;42;Leg+;Div2;1.74648356962472;3.7336;238.3
477A;477_A_LM BN;Bra_napus;-15;Limb;38;Leg+;Div1;1.71811251182335;1.5253;85.9
1043C;1043_C_PA BN;Bra_napus;-15;Leaves;20;Leg+;Div1;1.67910806196065;2.4718;1572.1
28C;28_C_PA BN;Bra_napus;-15;Leaves;34;Leg+;Div1;2.21397688525179;3.7651;1664.4
44B;44_B_PA BN;Bra_napus;-15;Leaves;37;Leg+;Div0;2.3388216400806;1.3478;127.2
46C;46_C_PA BN;Bra_napus;-15;Leaves;22;Leg-;Div3;2.21184811849623;3.42055;2321.9
33C;33_C_PA BN;Bra_napus;-15;Leaves;26;Leg-;Div3;1.97908727008123;1.4821;587.2
13C;13_C_PA BN;Bra_napus;-15;Leaves;29;Leg-;Div2;2.06885083886281;2.3937;1174.7
18C;18_C_PA BN;Bra_napus;-15;Leaves;32;Leg+;Div3;2.26362369212669;3.2211;2714.6
3C;3_C_PA BN;Bra_napus;-15;Leaves;41;Leg-;Div1;1.88801836224591;2.7331;393.3
2218A;2218_A_PA BN;Bra_napus;-15;Leaves;2;Leg-;Div1;2.22537490784197;3.692;87.6
1021C;1021_C_PA BN;Bra_napus;-15;Leaves;6;Leg-;Div1;2.03108042982742;2.5046;1431.5
2241B;2241_B_PA BN;Bra_napus;-15;Leaves;9;Leg-;Div0;2.536808;3.1885;823
59B;59_B_LM BN;Bra_napus;-15;Limb;21;Leg-;Div2;1.23542043159678;1.6001;302.939626
76B;76_B_LM BN;Bra_napus;-15;Limb;39;Leg+;Div2;1.83901118226867;2.6789;276.3
48C;48_C_PA BN;Bra_napus;-15;Leaves;21;Leg-;Div2;1.88384903989704;2.3426;1666.1
55C;55_C_PA BN;Bra_napus;-15;Leaves;35;Leg+;Div2;2.42667805405405;3.159;739.3
20B;20_B_PA BN;Bra_napus;-15;Leaves;38;Leg+;Div1;2.0010765676213;1.9917;405.1
41B;41_B_PA BN;Bra_napus;-15;Leaves;24;Leg-;Div1;2.0645844172257;2.9393;226.4
24C;24_C_PA BN;Bra_napus;-15;Leaves;27;Leg-;Div0;1.99366095319972;2.5889;485.9
8C;8_C_PA BN;Bra_napus;-15;Leaves;30;Leg-;Div3;1.60588834172068;3.4158;1412.2
27C;27_C_PA BN;Bra_napus;-15;Leaves;33;Leg+;Div0;1.9745736010296;2.9;951.9
6C;6_C_PA BN;Bra_napus;-15;Leaves;42;Leg+;Div2;2.46979457617231;4.0151;1398.2
2238B;2238_B_PA BN;Bra_napus;-15;Leaves;3;Leg-;Div2;1.54683915042563;1.8475;815.8
1025C;1025_C_PA BN;Bra_napus;-15;Leaves;7;Leg-;Div2;1.63520752447989;1.8213;518.5
2242B;2242_B_PA BN;Bra_napus;-15;Leaves;10;Leg-;Div1;1.68866877919468;1.25645;516.3
72B;72_B_LM BN;Bra_napus;-15;Limb;22;Leg-;Div3;1.63388405662806;3.4895;230.9
2224A;2224_A_PA BN;Bra_napus;-15;Leaves;12;Leg+;Div1;1.50371170143625;0.9335;250.9
45C;45_C_PA BN;Bra_napus;-15;Leaves;22;Leg-;Div3;2.23580352464018;3.42055;2321.9
54C;54_C_PA BN;Bra_napus;-15;Leaves;36;Leg+;Div3;2.66806877653001;3.6186;457.8
52C;52_C_PA BN;Bra_napus;-15;Leaves;39;Leg+;Div2;2.17072931106666;3.2964;968
31C;31_C_PA BN;Bra_napus;-15;Leaves;25;Leg-;Div2;1.98590090348006;3.6756;946.8
19C;19_C_PA BN;Bra_napus;-15;Leaves;28;Leg-;Div1;2.02228300156444;3.5068;616.2
11C;11_C_PA BN;Bra_napus;-15;Leaves;31;Leg+;Div2;2.08116738223938;3.2996;1042.5
38C;38_C_PA BN;Bra_napus;-15;Leaves;40;Leg+;Div3;2.2599010723305;3.8564;1187.9
1002C;1002_C_PA BN;Bra_napus;-15;Leaves;1;Leg-;Div0;2.20475990104733;2.2377;1168.3
2219A;2219_A_PA BN;Bra_napus;-15;Leaves;4;Leg-;Div3;1.54472209009009;1.1;143.1
1029C;1029_C_PA BN;Bra_napus;-15;Leaves;8;Leg-;Div3;1.64087900637298;2.3181;767.9
2223A;2223_A_PA BN;Bra_napus;-15;Leaves;11;Leg+;Div0;3.58047164811871;0.8978;44.9
1056C;1056_C_R BN;Bra_napus;15;Fine roots;31;Leg+;Div2;3.156569385876;2.8725;288.1
2226A;2226_A_PA BN;Bra_napus;-15;Leaves;14;Leg+;Div3;2.7184926023166;2.9579;129.3
2246B;2246_B_PA BN;Bra_napus;-15;Leaves;18;Leg+;Div3;1.80101987129987;3.0849;429.3
2244A;2244_A_R BN;Bra_napus;-15;Taproot;14;Leg+;Div3;0.83814054054054;;31.3589064
2312B;2312_B_R BN;Bra_napus;-15;Taproot;13;Leg+;Div2;2.38705431555631;1.6441;149
2276B;2276_B_R BN;Bra_napus;-15;Taproot;34;Leg+;Div1;2.31999417245817;2.5853;253.4
709A;709_A_R BN;Bra_napus;-15;Taproot;38;Leg+;Div1;2.47061443075729;2.024;58.3
2257B;2257_B_R BN;Bra_napus;-15;Taproot;25;Leg-;Div2;2.11234455598456;2.4934;131.7
2265B;2265_B_R BN;Bra_napus;-15;Taproot;28;Leg-;Div1;2.15381454875479;2.4349;110.3
2271B;2271_B_R BN;Bra_napus;-15;Taproot;31;Leg+;Div2;2.28893986986417;2.3817;160.2
1055C;1055_C_R BN;Bra_napus;-15;Fine roots;30;Leg-;Div3;2.70468453967045;2.4406;631.4
2245B;2245_B_PA BN;Bra_napus;-15;Leaves;15;Leg+;Div0;1.6520923037323;1.2244;258.2
2248B;2248_B_PA BN;Bra_napus;-15;Leaves;19;Leg+;Div0;1.57747360879766;1.92265;866.8
2247A;2247_A_R BN;Bra_napus;-15;Taproot;18;Leg+;Div3;1.73368667837606;1.946;90.7
2324B;2324_B_R BN;Bra_napus;-15;Taproot;20;Leg+;Div1;2.18920651737452;2.0285;231.1
2279B;2279_B_R BN;Bra_napus;-15;Taproot;35;Leg+;Div2;2.61590171428571;2.5601;85.5
2251B;2251_B_R BN;Bra_napus;-15;Taproot;22;Leg-;Div3;2.83026974517375;2.998;165
792A;792_A_R BN;Bra_napus;-15;Taproot;26;Leg-;Div3;2.60297551558527;2.1648;38.9
2267B;2267_B_R BN;Bra_napus;-15;Taproot;29;Leg-;Div2;2.71854435539695;2.2558;152
246B;246_B_R BN;Bra_napus;-15;Taproot;32;Leg+;Div3;2.37427336526334;2.2556;365.8
1036C;1036_C_PA BN;Bra_napus;-15;Leaves;13;Leg+;Div2;1.41792428740636;1.3784;1510.6
1041C;1041_C_PA BN;Bra_napus;-15;Leaves;17;Leg+;Div2;1.58209375112164;2.6226;2111.3
2317B;2317_B_R BN;Bra_napus;-15;Taproot;17;Leg+;Div2;2.10906880585765;1.8851;205.8
2321B;2321_B_R BN;Bra_napus;-15;Taproot;19;Leg+;Div0;1.86915;1.9974;170.3
277B;277_B_R BN;Bra_napus;-15;Taproot;21;Leg-;Div2;2.44677672462041;1.90465;288.5
2281B;2281_B_R BN;Bra_napus;-15;Taproot;36;Leg+;Div3;1.24907314371856;2.3882;70.8
2254B;2254_B_R BN;Bra_napus;-15;Taproot;24;Leg-;Div1;1.35147144368197;2.1452;52.9
2262B;2262_B_R BN;Bra_napus;-15;Taproot;27;Leg-;Div0;2.35190990477218;2.0086;101.5
2268B;2268_B_R BN;Bra_napus;-15;Taproot;30;Leg-;Div3;1.82234924395084;2.4959;209.7
2274B;2274_B_R BN;Bra_napus;-15;Taproot;33;Leg+;Div0;2.26459185651217;2.2823;111.8
2285B;2285_B_R BN;Bra_napus;-15;Taproot;39;Leg+;Div2;2.44781807792208;2.5603;154.1
211B;211_B_R BN;Bra_napus;-15;Taproot;42;Leg+;Div2;2.45204261606657;2.8427;142.5
2302B;2302_B_R BN;Bra_napus;-15;Taproot;6;Leg-;Div1;2.02456653566874;1.9297;197.4
2306B;2306_B_R BN;Bra_napus;-15;Taproot;9;Leg-;Div0;2.39692467532467;2.4154;186.7
2008B;2008_B_R LP;Lol_peren;-12;Fine roots;1;Leg-;Div0;1.21005266622778;1.1991;35.2
1991B;1991_B_R LP;Lol_peren;-12;Fine roots;5;Leg-;Div0;1.41040205303678;0.9045;188.8
2014B;2014_B_R LP;Lol_peren;-12;Fine roots;9;Leg-;Div0;1.12766953528399;0.9004;151
2033B;2033_B_R LP;Lol_peren;-12;Fine roots;15;Leg+;Div0;1.19515804949767;1.058;35.1
2085B;2085_B_R LP;Lol_peren;-12;Fine roots;22;Leg-;Div3;1.34299287140006;0.6752;151.6
2096B;2096_B_R LP;Lol_peren;-12;Fine roots;25;Leg-;Div2;1.00592070531095;1.0089;57.6
2163B;2163_B_R LP;Lol_peren;-12;Fine roots;31;Leg+;Div2;1.23095440288255;0.8068;79.4
2130B;2130_B_R LP;Lol_peren;-12;Fine roots;34;Leg+;Div1;1.09016755793226;0.8152;59.9
2139B;2139_B_R LP;Lol_peren;-12;Fine roots;37;Leg+;Div0;2.8921;1.2378;128.4
2287B;2287_B_R BN;Bra_napus;-15;Taproot;40;Leg+;Div3;2.40748739036515;2.5039;227.6
2293B;2293_B_R BN;Bra_napus;-15;Taproot;1;Leg-;Div0;2.43342171428571;1.9229;205
2303B;2303_B_R BN;Bra_napus;-15;Taproot;7;Leg-;Div2;1.9948252229698;1.5804;75.7
183A;183_A_T BN;Bra_napus;15;Stem;21;Leg-;Div2;2.11778493506494;1.9537;82.5
2002B;2002_B_R LP;Lol_peren;-12;Fine roots;3;Leg-;Div2;1.95839345454545;1.3922;105.7
160A;160_A_R LP;Lol_peren;-12;Fine roots;6;Leg-;Div1;-0.0756051948051949;1.019;18.4
2011B;2011_B_R LP;Lol_peren;-12;Fine roots;10;Leg-;Div1;1.6279409300377;1.0281;45.9
2059B;2059_B_R LP;Lol_peren;-12;Fine roots;17;Leg+;Div2;0.893722943722944;1.0478;79.5
2083B;2083_B_R LP;Lol_peren;-12;Fine roots;23;Leg-;Div0;2.68946828122176;0.8853;105.6
2155B;2155_B_R LP;Lol_peren;-12;Fine roots;29;Leg-;Div2;1.26477787818543;0.7743;50.4
2145B;2145_B_R LP;Lol_peren;-12;Fine roots;32;Leg+;Div3;1.34978956372968;0.718;69.9
2127B;2127_B_R LP;Lol_peren;-12;Fine roots;35;Leg+;Div2;2.04852796397151;0.8802;98.3
2136B;2136_B_R LP;Lol_peren;-12;Fine roots;38;Leg+;Div1;2.64052655961273;1.1295;86
561A;561_A_R BN;Bra_napus;-15;Taproot;41;Leg-;Div1;1.93851046912271;1.3307;43.6
2298B;2298_B_R BN;Bra_napus;-15;Taproot;3;Leg-;Div2;2.23674410096945;1.576;128.2
2304B;2304_B_R BN;Bra_napus;-15;Taproot;8;Leg-;Div3;1.90689824231993;2.0935;114.8
51C;51_C_PA BN0;Bra_napus;0;Leaves;39;Leg+;Div2;2.18146839132811;2.3948;567.4
1987B;1987_B_R LP;Lol_peren;-12;Fine roots;4;Leg-;Div3;1.46186040254566;0.9797;145.8
2030B;2030_B_R LP;Lol_peren;-12;Fine roots;7;Leg-;Div2;0.855777974025974;0.8791;55.6
2016B;2016_B_R LP;Lol_peren;-12;Fine roots;14;Leg+;Div3;2.03160851196996;1.4291;173.5
2070B;2070_B_R LP;Lol_peren;-12;Fine roots;20;Leg+;Div1;0.951936727272727;1.0844;86.5
2115B;2115_B_R LP;Lol_peren;-12;Fine roots;24;Leg-;Div1;1.29593401759531;0.876;59.6
2164B;2164_B_R LP;Lol_peren;-12;Fine roots;30;Leg-;Div3;1.41267695533166;0.9409;107.3
2137B;2137_B_R LP;Lol_peren;-12;Fine roots;33;Leg+;Div0;1.83543733375059;0.9146;78.5
2157B;2157_B_R LP;Lol_peren;-12;Fine roots;36;Leg+;Div3;1.51604427508619;1.07895;335.6
2124B;2124_B_R LP;Lol_peren;-12;Fine roots;39;Leg+;Div2;1.46516320260257;1.11605;142.9
2125B;2125_B_R LP;Lol_peren;-12;Fine roots;40;Leg+;Div3;1.75452577883039;0.9501;178.2
2020A;2020_A_LM LP;Lol_peren;-12;Limb;17;Leg+;Div2;-0.0808613406795226;1.4723;23
2104A;2104_A_PA LP;Lol_peren;-12;Leaves;1;Leg-;Div0;1.57359935064935;0.8835;30.6
2116A;2116_A_PA LP;Lol_peren;-12;Leaves;5;Leg-;Div0;2.10192373363688;0.9106;163.4
2167B;2167_B_PA LP;Lol_peren;-12;Leaves;8;Leg-;Div3;1.24540405486297;1.2051;281.9
2134A;2134_A_PA LP;Lol_peren;-12;Leaves;14;Leg+;Div3;1.81264680009369;1.0705;180.1
2138A;2138_A_PA LP;Lol_peren;-12;Leaves;19;Leg+;Div0;0.160157901504436;0.7878;21.7
64B;64_B_PA LP;Lol_peren;-12;Leaves;23;Leg-;Div0;3.30765;1.2481;169.3
165A;165_A_PA LP;Lol_peren;-12;Leaves;26;Leg-;Div3;0.850505539658082;1.6084;29.77
70A;70_A_PA LP;Lol_peren;-12;Leaves;29;Leg-;Div2;1.11186442825467;0.7881;55.66
