RT;div;leg;distance;id_jour;id_taxo;strata;NOD
11;Div0;Leg+;-24;42;Tri_alexa;1;24
11;Div0;Leg+;-24;42;Tri_alexa;2;1
11;Div0;Leg+;-24;42;Tri_alexa;3;0
11;Div0;Leg+;-9;42;Tri_alexa;1;19
11;Div0;Leg+;-9;42;Tri_alexa;2;39
11;Div0;Leg+;-9;42;Tri_alexa;3;19
11;Div0;Leg+;-9;42;Tri_alexa;4;19
11;Div0;Leg+;-3;42;Tri_alexa;1;46
11;Div0;Leg+;-3;42;Tri_alexa;2;17
11;Div0;Leg+;-3;42;Tri_alexa;3;0
11;Div0;Leg+;6;42;Tri_alexa;1;27
11;Div0;Leg+;6;42;Tri_alexa;2;24
11;Div0;Leg+;6;42;Tri_alexa;3;0
11;Div0;Leg+;6;42;Tri_alexa;4;0
11;Div0;Leg+;12;42;Tri_alexa;1;26
11;Div0;Leg+;12;42;Tri_alexa;2;3
11;Div0;Leg+;12;42;Tri_alexa;3;0
11;Div0;Leg+;21;42;Tri_alexa;1;20
11;Div0;Leg+;21;42;Tri_alexa;2;28
11;Div0;Leg+;21;42;Tri_alexa;3;0
11;Div0;Leg+;21;42;Tri_alexa;4;0
12;Div1;Leg+;-24;42;Tri_alexa;1;31
12;Div1;Leg+;-24;42;Tri_alexa;2;0
12;Div1;Leg+;-18;42;Tri_alexa;1;7
12;Div1;Leg+;-18;42;Tri_alexa;2;7
12;Div1;Leg+;-9;42;Tri_alexa;1;0
12;Div1;Leg+;-9;42;Tri_alexa;2;0
12;Div1;Leg+;-3;42;Tri_alexa;1;27
12;Div1;Leg+;-3;42;Tri_alexa;2;6
12;Div1;Leg+;12;42;Tri_alexa;1;24
12;Div1;Leg+;12;42;Tri_alexa;2;3
12;Div1;Leg+;21;42;Tri_alexa;1;30
12;Div1;Leg+;21;42;Tri_alexa;2;18
12;Div1;Leg+;21;42;Tri_alexa;3;0
12;Div1;Leg+;21;42;Tri_alexa;4;0
13;Div2;Leg+;-24;42;Tri_alexa;1;6
13;Div2;Leg+;-24;42;Tri_alexa;2;2
13;Div2;Leg+;-18;42;Tri_alexa;1;9
13;Div2;Leg+;-18;43;Tri_alexa;2;0
13;Div2;Leg+;-9;42;Tri_alexa;1;10
13;Div2;Leg+;-9;43;Tri_alexa;2;0
13;Div2;Leg+;-3;42;Tri_alexa;1;24
13;Div2;Leg+;-3;42;Tri_alexa;2;3
13;Div2;Leg+;-3;43;Tri_alexa;3;0
13;Div2;Leg+;-3;43;Tri_alexa;4;0
13;Div2;Leg+;6;42;Tri_alexa;1;5
13;Div2;Leg+;6;42;Tri_alexa;2;4
13;Div2;Leg+;6;43;Tri_alexa;3;0
13;Div2;Leg+;12;42;Tri_alexa;1;5
13;Div2;Leg+;12;43;Tri_alexa;2;0
13;Div2;Leg+;21;42;Tri_alexa;1;14
13;Div2;Leg+;21;42;Tri_alexa;2;6
13;Div2;Leg+;21;43;Tri_alexa;3;0
14;Div3;Leg+;-9;43;Tri_alexa;1;10
14;Div3;Leg+;-9;43;Tri_alexa;2;81
14;Div3;Leg+;-9;43;Tri_alexa;3;21
14;Div3;Leg+;-9;43;Tri_alexa;4;6
14;Div3;Leg+;-3;43;Tri_alexa;1;20
14;Div3;Leg+;-3;43;Tri_alexa;2;0
14;Div3;Leg+;6;43;Tri_alexa;1;15
14;Div3;Leg+;6;43;Tri_alexa;2;1
14;Div3;Leg+;12;43;Tri_alexa;1;16
14;Div3;Leg+;12;43;Tri_alexa;2;0
14;Div3;Leg+;21;43;Tri_alexa;1;0
15;Div0;Leg+;-24;43;Tri_alexa;1;7
15;Div0;Leg+;-18;43;Tri_alexa;1;3
15;Div0;Leg+;-9;43;Tri_alexa;1;7
15;Div0;Leg+;-9;43;Tri_alexa;2;3
15;Div0;Leg+;-3;43;Tri_alexa;1;34
15;Div0;Leg+;-3;43;Tri_alexa;2;7
15;Div0;Leg+;-3;43;Tri_alexa;3;0
15;Div0;Leg+;12;43;Tri_alexa;1;39
15;Div0;Leg+;12;43;Tri_alexa;2;8
15;Div0;Leg+;12;43;Tri_alexa;3;3
15;Div0;Leg+;12;43;Tri_alexa;4;0
15;Div0;Leg+;21;43;Tri_alexa;1;50
15;Div0;Leg+;21;43;Tri_alexa;2;58
15;Div0;Leg+;21;43;Tri_alexa;3;0
15;Div0;Leg+;21;43;Tri_alexa;4;3
16;Div1;Leg+;-24;43;Tri_alexa;1;5
16;Div1;Leg+;-24;43;Tri_alexa;2;6
16;Div1;Leg+;-18;43;Tri_alexa;1;10
16;Div1;Leg+;-18;43;Tri_alexa;2;0
16;Div1;Leg+;-9;43;Tri_alexa;1;0
16;Div1;Leg+;6;43;Tri_alexa;1;19
16;Div1;Leg+;6;43;Tri_alexa;2;5
16;Div1;Leg+;12;43;Tri_alexa;1;13
16;Div1;Leg+;12;43;Tri_alexa;2;5
16;Div1;Leg+;12;43;Tri_alexa;3;0
16;Div1;Leg+;21;43;Tri_alexa;1;17
17;Div2;Leg+;-24;43;Tri_alexa;1;5
17;Div2;Leg+;-24;43;Tri_alexa;2;8
17;Div2;Leg+;-18;43;Tri_alexa;1;12
17;Div2;Leg+;-18;43;Tri_alexa;2;3
17;Div2;Leg+;-9;43;Tri_alexa;1;6
17;Div2;Leg+;-9;43;Tri_alexa;2;15
17;Div2;Leg+;-9;43;Tri_alexa;3;0
17;Div2;Leg+;-3;43;Tri_alexa;1;12
17;Div2;Leg+;-3;43;Tri_alexa;2;43
17;Div2;Leg+;-3;43;Tri_alexa;3;3
17;Div2;Leg+;-3;43;Tri_alexa;4;0
17;Div2;Leg+;6;43;Tri_alexa;1;12
17;Div2;Leg+;6;43;Tri_alexa;2;0
17;Div2;Leg+;21;43;Tri_alexa;1;24
17;Div2;Leg+;21;43;Tri_alexa;2;0
17;Div2;Leg+;21;43;Tri_alexa;3;0
18;Div3;Leg+;-24;43;Tri_alexa;1;3
18;Div3;Leg+;-24;43;Tri_alexa;2;0
18;Div3;Leg+;-18;43;Tri_alexa;1;11
18;Div3;Leg+;-18;43;Tri_alexa;2;5
18;Div3;Leg+;-3;43;Tri_alexa;1;14
18;Div3;Leg+;-3;43;Tri_alexa;2;0
18;Div3;Leg+;6;43;Tri_alexa;1;36
18;Div3;Leg+;6;43;Tri_alexa;2;15
18;Div3;Leg+;6;43;Tri_alexa;3;1
18;Div3;Leg+;6;43;Tri_alexa;4;0
18;Div3;Leg+;12;43;Tri_alexa;1;4
18;Div3;Leg+;21;43;Tri_alexa;1;7
18;Div3;Leg+;21;43;Tri_alexa;2;3
19;Div0;Leg+;-24;43;Tri_alexa;1;3
19;Div0;Leg+;-24;43;Tri_alexa;2;1
19;Div0;Leg+;-18;43;Tri_alexa;1;9
19;Div0;Leg+;-18;43;Tri_alexa;2;12
19;Div0;Leg+;-18;44;Tri_alexa;3;0
19;Div0;Leg+;-9;43;Tri_alexa;1;10
19;Div0;Leg+;-9;44;Tri_alexa;2;0
19;Div0;Leg+;-3;43;Tri_alexa;1;8
19;Div0;Leg+;-3;43;Tri_alexa;2;16
19;Div0;Leg+;-3;43;Tri_alexa;3;8
19;Div0;Leg+;-3;44;Tri_alexa;4;0
19;Div0;Leg+;6;43;Tri_alexa;1;14
19;Div0;Leg+;6;43;Tri_alexa;2;7
19;Div0;Leg+;12;43;Tri_alexa;1;32
19;Div0;Leg+;12;44;Tri_alexa;2;0
20;Div1;Leg+;-24;44;Tri_alexa;1;15
20;Div1;Leg+;-24;44;Tri_alexa;2;76
20;Div1;Leg+;-24;44;Tri_alexa;3;0
20;Div1;Leg+;-18;44;Tri_alexa;1;17
20;Div1;Leg+;-18;44;Tri_alexa;2;0
20;Div1;Leg+;-9;44;Tri_alexa;1;18
20;Div1;Leg+;-3;44;Tri_alexa;1;16
20;Div1;Leg+;-3;44;Tri_alexa;2;0
20;Div1;Leg+;6;44;Tri_alexa;1;10
20;Div1;Leg+;6;44;Tri_alexa;2;0
20;Div1;Leg+;12;44;Tri_alexa;1;24
20;Div1;Leg+;12;44;Tri_alexa;2;18
20;Div1;Leg+;21;44;Tri_alexa;1;17
20;Div1;Leg+;21;44;Tri_alexa;2;9
31;Div2;Leg+;-24;42;Tri_alexa;1;34
31;Div2;Leg+;-24;42;Tri_alexa;2;26
31;Div2;Leg+;-24;42;Tri_alexa;3;5
31;Div2;Leg+;-18;42;Tri_alexa;1;41
31;Div2;Leg+;-18;42;Tri_alexa;2;30
31;Div2;Leg+;-18;42;Tri_alexa;3;1
31;Div2;Leg+;-9;42;Tri_alexa;1;13
31;Div2;Leg+;-9;42;Tri_alexa;2;0
31;Div2;Leg+;-3;42;Tri_alexa;1;14
31;Div2;Leg+;-3;42;Tri_alexa;2;0
31;Div2;Leg+;6;42;Tri_alexa;1;18
31;Div2;Leg+;6;42;Tri_alexa;2;14
31;Div2;Leg+;6;42;Tri_alexa;3;0
31;Div2;Leg+;12;42;Tri_alexa;1;15
31;Div2;Leg+;12;42;Tri_alexa;2;21
31;Div2;Leg+;12;42;Tri_alexa;3;1
31;Div2;Leg+;21;42;Tri_alexa;1;83
32;Div3;Leg+;-24;42;Tri_alexa;1;62
32;Div3;Leg+;-24;42;Tri_alexa;2;4
32;Div3;Leg+;-18;42;Tri_alexa;1;19
32;Div3;Leg+;-18;42;Tri_alexa;2;0
32;Div3;Leg+;-9;42;Tri_alexa;1;22
32;Div3;Leg+;-9;42;Tri_alexa;2;17
32;Div3;Leg+;-9;42;Tri_alexa;3;0
32;Div3;Leg+;6;42;Tri_alexa;1;27
32;Div3;Leg+;6;42;Tri_alexa;2;13
32;Div3;Leg+;6;42;Tri_alexa;3;0
32;Div3;Leg+;12;42;Tri_alexa;1;9
32;Div3;Leg+;12;42;Tri_alexa;2;33
32;Div3;Leg+;12;42;Tri_alexa;3;1
32;Div3;Leg+;12;42;Tri_alexa;4;0
32;Div3;Leg+;21;42;Tri_alexa;1;36
32;Div3;Leg+;21;42;Tri_alexa;2;42
32;Div3;Leg+;21;42;Tri_alexa;3;13
32;Div3;Leg+;21;42;Tri_alexa;4;24
33;Div0;Leg+;-24;42;Tri_alexa;1;37
33;Div0;Leg+;-24;42;Tri_alexa;2;38
33;Div0;Leg+;-24;42;Tri_alexa;3;6
33;Div0;Leg+;-24;42;Tri_alexa;4;0
33;Div0;Leg+;-18;42;Tri_alexa;1;12
33;Div0;Leg+;-18;42;Tri_alexa;2;8
33;Div0;Leg+;-18;42;Tri_alexa;3;3
33;Div0;Leg+;-18;42;Tri_alexa;4;0
33;Div0;Leg+;-9;42;Tri_alexa;1;22
33;Div0;Leg+;-9;42;Tri_alexa;2;5
33;Div0;Leg+;-9;42;Tri_alexa;3;0
33;Div0;Leg+;-3;42;Tri_alexa;1;23
33;Div0;Leg+;-3;42;Tri_alexa;2;10
33;Div0;Leg+;12;42;Tri_alexa;1;12
33;Div0;Leg+;12;42;Tri_alexa;2;5
33;Div0;Leg+;12;42;Tri_alexa;3;0
33;Div0;Leg+;21;42;Tri_alexa;1;12
33;Div0;Leg+;21;42;Tri_alexa;2;0
34;Div1;Leg+;-24;42;Tri_alexa;1;21
34;Div1;Leg+;-24;42;Tri_alexa;2;9
34;Div1;Leg+;-18;42;Tri_alexa;1;11
34;Div1;Leg+;-18;42;Tri_alexa;2;3
34;Div1;Leg+;-9;42;Tri_alexa;1;11
34;Div1;Leg+;-9;42;Tri_alexa;2;3
34;Div1;Leg+;-9;42;Tri_alexa;3;0
34;Div1;Leg+;6;42;Tri_alexa;1;0
34;Div1;Leg+;12;42;Tri_alexa;1;7
34;Div1;Leg+;12;42;Tri_alexa;2;3
34;Div1;Leg+;21;42;Tri_alexa;1;16
34;Div1;Leg+;21;42;Tri_alexa;2;12
34;Div1;Leg+;21;42;Tri_alexa;3;4
34;Div1;Leg+;21;42;Tri_alexa;4;0
35;Div2;Leg+;-24;42;Tri_alexa;1;22
35;Div2;Leg+;-24;42;Tri_alexa;2;10
35;Div2;Leg+;-18;42;Tri_alexa;1;16
35;Div2;Leg+;-18;42;Tri_alexa;2;3
35;Div2;Leg+;-18;42;Tri_alexa;3;0
35;Div2;Leg+;-9;42;Tri_alexa;1;9
35;Div2;Leg+;-9;42;Tri_alexa;2;10
35;Div2;Leg+;-9;42;Tri_alexa;3;0
35;Div2;Leg+;-3;42;Tri_alexa;1;32
35;Div2;Leg+;-3;42;Tri_alexa;2;23
35;Div2;Leg+;-3;42;Tri_alexa;3;3
35;Div2;Leg+;6;42;Tri_alexa;1;18
35;Div2;Leg+;6;42;Tri_alexa;2;4
35;Div2;Leg+;21;42;Tri_alexa;1;26
35;Div2;Leg+;21;42;Tri_alexa;2;20
35;Div2;Leg+;21;42;Tri_alexa;3;4
35;Div2;Leg+;21;42;Tri_alexa;4;0
36;Div3;Leg+;-24;43;Tri_alexa;1;37
36;Div3;Leg+;-24;43;Tri_alexa;2;85
36;Div3;Leg+;-24;43;Tri_alexa;3;15
36;Div3;Leg+;-24;43;Tri_alexa;4;19
36;Div3;Leg+;-18;43;Tri_alexa;1;4
36;Div3;Leg+;-9;43;Tri_alexa;1;31
36;Div3;Leg+;-9;43;Tri_alexa;2;15
36;Div3;Leg+;-3;43;Tri_alexa;1;40
36;Div3;Leg+;-3;43;Tri_alexa;2;37
36;Div3;Leg+;-3;43;Tri_alexa;3;0
36;Div3;Leg+;6;43;Tri_alexa;1;32
36;Div3;Leg+;6;43;Tri_alexa;2;29
36;Div3;Leg+;6;43;Tri_alexa;3;1
36;Div3;Leg+;12;43;Tri_alexa;1;
36;Div3;Leg+;12;43;Tri_alexa;2;
36;Div3;Leg+;12;43;Tri_alexa;3;
36;Div3;Leg+;21;43;Tri_alexa;1;17
36;Div3;Leg+;21;43;Tri_alexa;2;37
36;Div3;Leg+;21;43;Tri_alexa;3;0
36;Div3;Leg+;21;43;Tri_alexa;4;0
37;Div0;Leg+;-24;43;Tri_alexa;1;50
37;Div0;Leg+;-24;43;Tri_alexa;2;35
37;Div0;Leg+;-24;43;Tri_alexa;3;0
37;Div0;Leg+;-18;43;Tri_alexa;1;10
37;Div0;Leg+;-18;43;Tri_alexa;2;12
37;Div0;Leg+;-9;43;Tri_alexa;1;27
37;Div0;Leg+;-9;43;Tri_alexa;2;22
37;Div0;Leg+;-9;43;Tri_alexa;3;5
37;Div0;Leg+;-9;43;Tri_alexa;4;0
37;Div0;Leg+;-3;43;Tri_alexa;1;18
37;Div0;Leg+;-3;43;Tri_alexa;2;30
37;Div0;Leg+;-3;43;Tri_alexa;3;3
37;Div0;Leg+;6;43;Tri_alexa;1;29
37;Div0;Leg+;6;43;Tri_alexa;2;11
37;Div0;Leg+;6;43;Tri_alexa;3;0
37;Div0;Leg+;12;43;Tri_alexa;1;25
37;Div0;Leg+;12;43;Tri_alexa;2;19
37;Div0;Leg+;12;43;Tri_alexa;3;0
37;Div0;Leg+;12;43;Tri_alexa;4;0
37;Div0;Leg+;21;43;Tri_alexa;1;17
37;Div0;Leg+;21;43;Tri_alexa;2;16
37;Div0;Leg+;21;43;Tri_alexa;3;0
38;Div1;Leg+;-24;43;Tri_alexa;1;81
38;Div1;Leg+;-24;43;Tri_alexa;2;45
38;Div1;Leg+;-24;43;Tri_alexa;3;5
38;Div1;Leg+;-18;43;Tri_alexa;1;19
38;Div1;Leg+;-18;43;Tri_alexa;2;45
38;Div1;Leg+;-18;43;Tri_alexa;3;1
38;Div1;Leg+;-18;43;Tri_alexa;4;0
38;Div1;Leg+;-9;43;Tri_alexa;1;26
38;Div1;Leg+;-9;43;Tri_alexa;2;12
38;Div1;Leg+;-3;43;Tri_alexa;1;39
38;Div1;Leg+;-3;43;Tri_alexa;2;13
38;Div1;Leg+;-3;43;Tri_alexa;3;0
38;Div1;Leg+;6;43;Tri_alexa;1;17
38;Div1;Leg+;6;43;Tri_alexa;2;4
38;Div1;Leg+;6;43;Tri_alexa;3;0
39;Div2;Leg+;-24;44;Tri_alexa;1;34
39;Div2;Leg+;-24;44;Tri_alexa;2;39
39;Div2;Leg+;-18;44;Tri_alexa;1;74
39;Div2;Leg+;-18;44;Tri_alexa;2;39
39;Div2;Leg+;-18;44;Tri_alexa;3;0
39;Div2;Leg+;-9;44;Tri_alexa;1;51
39;Div2;Leg+;-9;44;Tri_alexa;2;30
39;Div2;Leg+;-9;44;Tri_alexa;3;9
39;Div2;Leg+;-9;44;Tri_alexa;4;2
39;Div2;Leg+;-3;44;Tri_alexa;1;35
39;Div2;Leg+;-3;44;Tri_alexa;2;12
39;Div2;Leg+;-3;44;Tri_alexa;3;0
39;Div2;Leg+;6;44;Tri_alexa;1;18
39;Div2;Leg+;6;44;Tri_alexa;2;9
39;Div2;Leg+;6;44;Tri_alexa;3;2
39;Div2;Leg+;6;44;Tri_alexa;4;0
39;Div2;Leg+;12;44;Tri_alexa;1;15
39;Div2;Leg+;12;44;Tri_alexa;2;21
39;Div2;Leg+;12;44;Tri_alexa;3;0
39;Div2;Leg+;21;44;Tri_alexa;1;21
39;Div2;Leg+;21;44;Tri_alexa;2;32
39;Div2;Leg+;21;44;Tri_alexa;3;1
40;Div3;Leg+;-18;44;Tri_alexa;1;26
40;Div3;Leg+;-18;44;Tri_alexa;2;37
40;Div3;Leg+;-18;44;Tri_alexa;3;4
40;Div3;Leg+;-18;44;Tri_alexa;4;0
40;Div3;Leg+;-9;44;Tri_alexa;1;30
40;Div3;Leg+;-9;44;Tri_alexa;2;12
40;Div3;Leg+;-9;44;Tri_alexa;3;0
40;Div3;Leg+;-9;44;Tri_alexa;4;0
40;Div3;Leg+;6;44;Tri_alexa;1;52
40;Div3;Leg+;6;44;Tri_alexa;2;1
40;Div3;Leg+;12;44;Tri_alexa;1;15
40;Div3;Leg+;12;44;Tri_alexa;2;34
42;Div2;Leg+;-24;42;Tri_alexa;1;29
42;Div2;Leg+;-24;42;Tri_alexa;2;38
42;Div2;Leg+;-9;42;Tri_alexa;1;53
42;Div2;Leg+;-9;42;Tri_alexa;2;35
42;Div2;Leg+;-9;42;Tri_alexa;3;1
42;Div2;Leg+;6;42;Tri_alexa;1;45
42;Div2;Leg+;6;42;Tri_alexa;2;54
42;Div2;Leg+;6;42;Tri_alexa;3;0
42;Div2;Leg+;21;42;Tri_alexa;1;55
42;Div2;Leg+;21;42;Tri_alexa;2;85
42;Div2;Leg+;21;42;Tri_alexa;3;0
